Passport,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE
BHS,visa required,visa required,visa required,90,visa required,240,90,90,90,90,90,-1,90,90,90,visa required,240,90,visa required,visa required,90,90,90,90,90,90,visa required,visa required,visa required,visa required,240,90,visa required,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,visa required,90,90,240,visa required,90,visa required,90,visa required,90,visa required,visa required,90,90,visa required,90,90,90,visa required,90,90,90,visa required,240,90,90,visa required,visa required,90,visa required,90,90,90,240,visa required,visa required,visa required,visa required,90,90,240,90,90,visa required,visa required,90,90,visa required,90,visa required,visa required,90,visa required,90,visa required,visa required,240,90,240,visa required,visa required,90,90,90,90,90,90,visa required,90,90,visa required,90,90,visa required,visa required,visa required,visa required,visa required,90,90,visa required,90,90,90,visa required,visa required,visa required,90,240,90,visa required,visa required,visa required,90,90,90,90,visa required,90,90,90,90,90,visa required,90,90,90,240,90,visa required,visa required,visa required,90,90,90,90,90,90,visa required,90,90,visa required,90,90,90,visa required,90,90,240,visa required,visa required,visa required,90,visa required,visa required,visa required,90,90,visa required,240,visa required,90,90,visa required,90,240,240,90,visa required,90,90,90,visa required,visa required,90,90
BHR,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,-1,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa free,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa
BGD,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,90,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,90,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,90,90,covid ban,covid ban,90,covid ban,90,covid ban,90,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,no admission,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,90,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban
BRB,visa required,28,visa required,visa required,visa required,visa free,visa free,28,180,90,28,visa free,90,180,-1,28,90,180,visa required,visa required,visa required,visa required,180,180,180,90,90,90,visa required,90,180,visa required,visa required,visa required,90,30,90,visa required,visa required,visa required,30,visa required,90,28,90,90,90,visa required,visa free,visa required,visa required,visa required,90,visa required,visa required,90,180,90,180,90,90,visa required,180,28,90,180,90,visa free,90,visa required,visa required,visa free,visa required,visa required,30,90,90,90,90,visa required,visa required,180,180,90,180,90,90,28,180,180,visa required,visa required,28,visa required,90,visa required,180,90,visa required,180,90,90,30,visa required,180,180,180,180,90,visa required,180,180,28,visa required,28,90,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,90,180,28,visa required,180,visa required,visa required,90,90,visa required,visa required,visa required,28,visa required,visa required,28,90,90,90,90,180,90,90,180,180,180,180,visa required,90,90,90,180,180,180,90,90,180,visa required,180,90,visa required,90,180,180,visa required,180,90,180,visa required,visa required,28,180,90,28,visa required,180,180,180,180,28,180,180,28,90,180,180,90,28,180,visa required,28,90,visa required,180,180
BLR,visa required,30,visa required,30,visa required,30,30,visa free,30,30,visa free,visa required,30,visa required,30,-1,30,visa required,visa required,visa required,visa required,30,visa required,90,visa required,30,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,30,30,visa required,visa required,visa required,visa required,visa required,visa required,30,30,30,30,30,visa required,30,visa required,30,visa required,30,visa required,visa required,30,visa required,visa required,visa required,30,30,visa required,visa required,visa free,30,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,14,30,30,visa required,30,visa required,visa required,30,90,30,visa required,30,visa required,visa free,visa required,visa required,visa required,30,visa free,visa required,30,visa required,visa required,visa required,visa required,30,30,30,30,visa required,visa required,30,visa required,visa required,30,visa required,visa required,visa required,30,30,visa free,30,90,30,visa required,visa required,visa required,visa required,visa required,visa required,30,30,30,visa required,visa required,visa required,30,30,30,visa required,visa required,visa required,30,visa required,visa required,30,visa required,30,30,30,30,visa free,visa required,30,visa required,visa required,30,visa required,30,visa required,30,30,visa required,30,30,30,visa required,visa required,visa required,30,visa required,30,visa required,30,visa required,visa required,30,30,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa free,30,30,30,30,visa free,30,30,90,visa required,visa required,visa required,visa required
BEL,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,90,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,90,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,visa free,visa free,covid ban,covid ban,covid ban,90,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,90,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban
BLZ,visa required,visa required,visa required,visa free,visa required,visa free,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,visa free,visa required,visa free,-1,visa required,visa required,30,visa required,visa free,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,90,visa required,30,visa required,visa required,visa required,30,visa required,visa free,visa required,visa free,visa free,visa free,visa required,visa free,30,30,visa required,30,visa required,visa required,visa free,visa free,visa required,visa free,visa free,visa free,visa required,visa free,visa required,visa free,visa free,visa free,visa free,30,visa required,visa required,visa free,visa required,30,visa free,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa free,90,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,visa free,visa free,visa free,visa required,visa free,visa free,visa required,visa free,30,visa free,visa required,visa free,visa required,visa required,30,visa required,visa required,visa free,visa required,visa required,visa free,visa free,30,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa free,visa required,30,visa free,30,30,visa required,visa free,visa free,visa required,visa free,visa required,visa required,visa free,visa free,visa free,visa required,visa required,visa required,visa required,visa required,visa free,visa free,visa free,visa free,visa free,visa free,visa required,visa free,90,visa required,visa free,visa required,visa free,visa required,visa free,visa free,30,visa required,90,visa required,visa free,visa required,visa required,visa required,visa free,visa required,visa free,90,visa required,visa free,visa free,visa required,visa required,visa free,180,visa free,visa required,visa free,visa free,30,visa required,visa required,visa free,visa free
BEN,e-visa,e-visa,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,-1,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,90,e-visa,90,e-visa,90,90,90,e-visa,e-visa,e-visa,90,90,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,e-visa,90,90,e-visa,90,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,90,e-visa,90,e-visa,14,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,90,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,90,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,90,90,e-visa,90,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90
BTN,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,14,visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,14,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,14,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
BOL,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,90,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,-1,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,90,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,90,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,90,90,90,90,90,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,90,90,90,visa on arrival,visa on arrival,90,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival
BIH,visa required,90,visa required,90,visa required,90,90,visa required,90,90,90,90,90,visa required,90,visa required,90,visa required,visa required,visa required,visa required,-1,visa required,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,visa required,90,90,90,visa required,90,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,visa required,90,90,visa required,visa required,90,90,visa required,90,90,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,visa required,visa required,visa required,90,90,90,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,visa required,90,visa required,visa required,90,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,90,90,visa required,90,visa required,90,visa required,90,90,visa required,90,90,90,90,30,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,90,90,90,visa required,visa required,90,visa required,90,visa required,90,visa required,visa required,90,90,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,90,visa required,90,visa required,30,90,90,90,90,visa required,90,90,90,visa required,visa required,visa required,visa required
BWA,visa required,visa required,visa required,visa required,90,90,90,visa required,90,90,visa required,90,90,visa required,90,visa required,90,90,visa required,visa required,visa required,visa required,-1,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,90,90,visa required,visa required,visa required,visa required,visa required,90,90,visa required,visa required,90,90,visa required,90,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,visa required,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,90,visa required,visa required,90,visa required,90,visa required,visa required,90,90,90,visa required,visa required,90,90,90,visa required,90,visa required,visa required,90,90,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,90,90,visa required,visa required,visa required,visa required,visa required,90,90,visa required,visa required,visa required,visa required,90,90,90,visa required,90,90,90,90,90,visa required,90,90,90,90,visa required,90,visa required,visa required,90,90,90,90,90,90,visa required,90,90,90,90,visa required,90,visa required,visa required,90,90,visa required,visa required,visa required,90,visa required,visa required,visa required,90,90,visa required,90,visa required,90,90,visa required,90,90,90,90,visa required,90,90,90,visa required,visa required,90,90
BRA,visa required,90,visa required,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,90,90,90,90,visa required,visa required,90,90,visa required,-1,visa required,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,90,90,90,visa required,90,visa required,90,visa required,90,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,90,90,visa required,90,90,90,visa required,visa required,90,visa required,90,90,90,90,visa required,30,visa required,visa required,90,90,90,90,90,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,visa required,90,visa required,visa required,90,visa required,visa required,visa required,90,visa required,visa required,90,90,90,90,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,visa required,90,90,visa required,visa required,visa required,visa required,90,visa required,90,90,90,90,90,90,90,90,visa required,90,visa required,visa required,90,visa required,visa required,visa required,90,90,visa required,30,90,90,visa required,visa required,90,90,visa required,90,visa required,90,visa required,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,90,90,90,90,visa required,visa required,90,60,visa required,visa required,visa required,visa required
BRN,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
